timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/23 21:27:32.555, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.42 W, 31
2026/09/23 21:27:37.566, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.10 W, 31
2026/09/23 21:27:42.575, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.10 W, 31
2026/09/23 21:27:47.578, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.13 W, 31
2026/09/23 21:27:52.579, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.01 W, 31
2026/09/23 21:27:57.586, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.09 W, 31
2026/09/23 21:28:02.596, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 14.79 W, 31
2026/09/23 21:28:07.602, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.17 W, 31
2026/09/23 21:28:12.610, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.02 W, 31
2026/09/23 21:28:17.616, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.27 W, 31
2026/09/23 21:28:22.620, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.22 W, 31
2026/09/23 21:28:27.625, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.43 W, 31
2026/09/23 21:28:32.631, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.40 W, 31
2026/09/23 21:28:37.640, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.13 W, 31
